Name English,Current Council,Name French,Year,Person,Position English,Position French,Phone,Fax,Website,Neighbourhoods
Winnipeg,False,Winnipeg,2014,Brian Bowman,Mayor,maire de,204-986-5665,204-949-0566,https://www.mayorbowman.ca/,
St. Vital,False,Saint-Vital,2014,Brian Mayes,Councillor,Conseiller,204-986-5088,204-986-3725,http://www.brianmayes.com/,"Alpine Place, Elm Park, Glenwood, Lavalee, Norberry, St. George, Varennes, Worthington, Kingston Crescent, Minnetonka, Pulberry, Victoria Crescent, Vista, Dakota Crossing, St. Vital Centre, St. Vital Perimeter South, Maple Grove Park, Meadowood"
Fort Rouge - East Fort Garry,False,Fort Rouge-Fort Garry-Est,2014,Jenny Gerbasi,Councillor,Conseill&#232;re,204-986-5878,204-986-5636,http://www.jennygerbasi.ca/,"West Broadway, Earl Grey, Ebby-Wentworth, Mcmillan, River-Osborne, Roslyn, Armstrong Point, South Portage, The Forks, Broadway-Assiniboine, Legislature, Point Road, Wildwood, Crescent Park, Lord Roberts, Riverview"
Winnipeg,True,Winnipeg,2022,Scott Gillingham,Mayor,maire de,204-986-5665,204-949-0566,,
Mynarski,False,Mynarski,2018,Ross Eadie,Councillor,Conseiller,204-986-5188,204-986-3726,,"Dufferin, William Whyte, Luxton, St. John's, Inkster-Faraday, Jefferson, Mynarski, North Point Douglas, Robertson, St. John's Park, Seven Oaks, Margaret Park, Dufferin Industrial, Kildonan Park, Lord Selkirk Park"
Elmwood - East Kildonan,True,Elmwood-Kildonan-Est,2022,Jason Schreyer,Councillor,Conseiller,204-986-5195,204-986-3725,http://jasonschreyer.ca/,"Chalmers, Talbot-Grey, East Elmwood, Munroe West, Glenelm, Munroe East, Valley Gardens, Eaglemere, Kildonan Crossing, Tyne-Tees, Rossmere-B"
Daniel McIntyre,False,Daniel-McIntyre,2018,Cindy Gilroy,Councillor,Conseill&#232;re,204-986-5951,204-986-3725,http://www.cindygilroy.com/,"Spence, Daniel Mcintyre, St. Matthews, Wolseley, Minto, Sargent Park, Colony, Portage-Ellice, Central Park"
River Heights - Fort Garry,False,River Heights-Fort Garry,2014,John Orlikow,Councillor,Conseiller,204-986-5236,204-986-3725,http://www.orlikow.ca/,"Crescentwood, Beaumont, Grant Park, Maybank, Rockwood, Central River Heights, J. B. Mitchell, Mathers, North River Heights, Sir John Franklin, South River Heights, Wellington Crescent, Linden Woods, Pembina Strip, Buffalo, Chevrier, Parker, West Fort Garry Industrial, Linden Ridge, Brockville"
St. James,False,St. James,2018,Scott Gillingham,Councillor,Conseiller,204-986-5848,204-986-3725,http://www.scottgillingham.ca/,"Polo Park, Kensington, King Edward, Bruce Park, Deer Lodge, Birchwood, Booth, Buchanan, Crestview, Heritage Park, Jameswood, Sturgeon Creek, Silver Heights, Woodhaven, Airport, Murray Industrial Park, St. James Industrial, Saskatchewan North, West Wolseley"
Fort Rouge - East Fort Garry,True,Fort Rouge-Fort Garry-Est,2022,Sherri Rollins,Councillor,Conseill&#232;re,204-986-5878,204-986-3725,,"West Broadway, Earl Grey, Ebby-Wentworth, Mcmillan, River-Osborne, Roslyn, Armstrong Point, South Portage, The Forks, Broadway-Assiniboine, Legislature, Point Road, Wildwood, Crescent Park, Lord Roberts, Riverview"
