Ward/Office,Council Member,Journal Date,Vendor,Expense Type,Description,Account,Amount,Department
St. Vital,Brian Mayes,2021-05-01,City of Winnipeg - Journal Entry,CWA,Printing and Photocopying,"Printing,Binding,Photocopying",13.16,
St. Vital,Brian Mayes,2021-05-01,Flexity,CWA,Telephone,Telephone,24.51,
St. Vital,Brian Mayes,2021-05-01,MTS Mobility,CWA,MTS Account,Telephone-Cellular,-43.62,
St. Vital,Brian Mayes,2021-05-08,Councillor's Executive Assistant,CWA,Executive Assistant Salary & Benefits,Casual Services,1848.77,
St. Vital,Brian Mayes,2021-05-10,City of Winnipeg - Journal Entry,CWA,In Lieu Of Work Done By The Executive Assistant For The Winnipeg Food Council Chairmanship.,Casual Services,-922.92,
St. Vital,Brian Mayes,2021-05-18,Dakota Collegiate,CWA,2021 Sign Advertising,Advertising,1000.0,
St. Vital,Brian Mayes,2021-05-20,Manulife Financial,CWA,Executive Assistant Coverage,Casual Services,227.17,
St. Vital,Brian Mayes,2021-05-20,Sage Creek Residents' Association Inc,CWA,2021 Spring Newsletter,Advertising,125.0,
St. Vital,Brian Mayes,2021-05-22,Councillor's Executive Assistant,CWA,Executive Assistant Salary & Benefits,Casual Services,1849.91,
St. Vital,Brian Mayes,2021-05-31,Postmedia Digital,CWA,MC - Monthly Online Subscript-Apr27,Periodicals and Subscriptions,5.72,
St. Vital,Brian Mayes,2021-05-31,Skipthedishes,CWA,MC - Sage Creek Residents Ass-Apr03,Business Meetings,39.1,
St. Vital,Brian Mayes,2021-05-31,Winnipeg Sun,CWA,MC - Monthly Subscription-Apr15,Periodicals and Subscriptions,21.97,
St. Vital,Brian Mayes,2021-05-31,Wpg Free Press Sub,CWA,MC - Monthly Subscription-Apr20,Periodicals and Subscriptions,44.49,
St. Vital,Brian Mayes,2021-05-10,City of Winnipeg - Journal Entry,Chairmanship,In Lieu Of Work Done By The Executive Assistant For The Winnipeg Food Council Chairmanship.,Casual Services,625.92,
St. Vital,Brian Mayes,2021-05-10,City of Winnipeg - Journal Entry,Carryover Chairmanship,In Lieu Of Work Done By The Executive Assistant For The Winnipeg Food Council Chairmanship.,Casual Services,297.0,
Daniel McIntyre,Cindy Gilroy,2021-05-01,City of Winnipeg - Journal Entry,CWA,Printing and Photocopying,"Printing,Binding,Photocopying",62.92,
Daniel McIntyre,Cindy Gilroy,2021-05-01,Flexity,CWA,Telephone,Telephone,49.02,
