Date,Type,Ward,Candidate,Position,Votes
October 06 1971,General Election,Ross House,George MUNROE,Office of Councillor,1302
October 06 1971,General Election,Kildonan Park,Charles W. BAKER,Office of Councillor,944
October 06 1971,General Election,Mynarski,Kenneth GALANCHUK,Office of Councillor,1745
October 06 1971,General Election,Booth,George MINAKER,Office of Councillor,3596
October 06 1971,General Election,Jefferson,William SASAKI,Office of Councillor,1712
October 06 1971,General Election,University,Gerald MERCIER,Office of Councillor,2499
October 06 1971,General Election,Fernwood,Al DUCHARME,Office of Councillor,2447
October 06 1971,General Election,Kelvin,William NORRIE,Office of Councillor,3987
October 06 1971,General Election,Strathcona,Joseph CROPO,Office of Councillor,1302
October 06 1971,General Election,Cockburn,Robert JOHANNSON,Office of Councillor,1665
October 06 1971,General Election,Arlington,Olga FUGA,Office of Councillor,1494
October 06 1971,General Election,Garden City,Abe YANOFSKY,Office of Councillor,2726
October 06 1971,General Election,Kirkfield,Bill HALLONQUIST,Office of Councillor,1571
October 06 1971,General Election,Winakwa,Michael DENNEHY,Office of Councillor,2152
October 06 1971,General Election,Sargent Park,William MCGARVA,Office of Councillor,2390
October 06 1971,General Election,Queenston,Warren STEEN,Office of Councillor,3252
October 06 1971,General Election,Kern Park,Philip RIZZUTO,Office of Councillor,1082
October 06 1971,General Election,Weston,Alan C. WADE,Office of Councillor,2289
October 06 1971,General Election,Regent Park,Bernie WOLFE,Office of Councillor,1988
October 06 1971,General Election,Talbot,Alf SKOWRON,Office of Councillor,1509
October 06 1971,General Election,Westminster,Robert STEEN,Office of Councillor,2339
October 06 1971,General Election,Norwood,John GEE,Office of Councillor,2768
October 06 1971,General Election,Silver Heights,Pearl MCGONIGAL,Office of Councillor,3125
October 06 1971,General Election,Roslyn,June WESTBURY,Office of Councillor,2726
October 06 1971,General Election,Miles MacDonnell,Stanley DOWHAN,Office of Councillor,1904
October 06 1971,General Election,Sisler,Norman HUDSON,Office of Councillor,967
October 06 1971,General Election,King Edward,Eldon ROSS,Office of Councillor,2028
October 06 1971,General Election,Bannatyne,Lawrie CHERNIAK,Office of Councillor,1605
October 06 1971,General Election,Charleswood Park,Al COOPMAN,Office of Councillor,1905
October 06 1971,General Election,Leighton,James SMITH,Office of Councillor,1855
