Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
318,2018-09-30,Brian Bowman,yes,no,no,Durrenmatt Notebook,2018-11-14,Compliments of the Swiss Confederation - $5.00,Thank you Gift,Retain,5
369,2018-12-31,Brian Bowman,yes,no,no,Lakhvinder Dullat,2018-12-21,Box of Almond Roca - $20.00,Christmas Courtesy Gift,Retain,20
368,2018-12-31,Brian Bowman,yes,no,no,Councillor Scott Gillingham,2018-12-21,"Gourmet Mustard Pack, Ornament - $20.00",Christmas Courtesy Gift,Retain,20
367,2018-12-31,Brian Bowman,yes,no,no,Captain Handley -2 Cdn Air Div in Wpg,2018-12-19,"Presented a letter, a coin, a photo book and music CD on behalf of the Mayor of Lviv, Sister City .",Courtesy Gift,Retain,
366,2018-12-31,Brian Bowman,yes,no,no,Centre Venture- Angela and Team,2018-12-18,Wpg Architechture Fdn Coffee Mug - $10.00,Christmas Courtesy Gift,Retain,10
365,2018-12-31,Brian Bowman,yes,no,no,I Am Love Project- Amy Tung and Alix McLachlan,2018-12-21,12 Toques -$50.00,Courtesy Gift,Retain,50
364,2018-12-31,Brian Bowman,no,no,yes,Paul Boge and Joy Smith,2018-12-21,Book - The True Story of Cdn Human Trafficking-$20.00,Courtesy Gift,Retain,20
363,2018-12-31,Brian Bowman,yes,no,no,K9 Storm Factory,2018-12-21,"3 toques, 3 calendars- $100.00",Courtesy Gift,Retain,100
362,2018-12-31,Brian Bowman,yes,no,no,Jody Zarn - Laps 4 Life,2018-12-18,56g.Salted Chocolate Covered Almonds - $5.00,Xmas Courtesy Gift,Retain,5
361,2018-12-31,Brian Bowman,yes,no,no,Councillor Browaty,2018-12-18,Our Finest box of Truffles - $10,Xmas Courtesy Gift,Retain,10
360,2018-12-31,Brian Bowman,yes,no,no,"Cineplex - Sarah Van Lange, Dir Communications",2018-12-18,Cineplex Premiere Card,Courtesy Gift,Retain,
359,2018-12-31,Brian Bowman,yes,no,no,"MB Heavy Construction Assoc., Don Hurst & Chris Lorenc",2018-12-11,Holiday Collection of Chocolates - $20,Courtesy Gift,Retain,20
358,2018-12-31,Brian Bowman,yes,no,no,ACTRA - Rob Macklin,2018-12-11,"ACTRA tote bag, scarf,bottle of champagne, water bottle,box of 3 MB chocolates, gc haircut and volume lashes.$20 restaurant gc, dconstruct eco bracelet - $100.00",Courtesy Gift,Retain,20
357,2018-12-31,Brian Bowman,yes,no,no,Art City,2018-12-10,Art City T-shirt - $20.00,Courtesy Gift,Retain,20
356,2018-12-31,Brian Bowman,yes,no,no,Amsterdam Tea Room,2018-12-04,"samples of tea, tea diffuser - $30.00",Courtesy Gift,Retain,30
355,2018-12-31,Brian Bowman,yes,no,no,"Alex Plante, Digital Painter and Illustrator",2018-12-18,"""Fun"" Painting of Forks, Human Rights Museum - $50.00",Courtesy Gift,Retain,50
